epoch,char_1_accuracy,char_1_loss,char_2_accuracy,char_2_loss,char_3_accuracy,char_3_loss,char_4_accuracy,char_4_loss,char_5_accuracy,char_5_loss,learning_rate,loss,val_char_1_accuracy,val_char_1_loss,val_char_2_accuracy,val_char_2_loss,val_char_3_accuracy,val_char_3_loss,val_char_4_accuracy,val_char_4_loss,val_char_5_accuracy,val_char_5_loss,val_loss
0,0.02742857113480568,4.791606426239014,0.03171428665518761,4.813297748565674,0.027714285999536514,4.801081657409668,0.030571429058909416,4.801875591278076,0.02971428632736206,4.776534557342529,0.0010000000474974513,23.990154266357422,0.03200000151991844,5.534203052520752,0.03400000184774399,5.1411004066467285,0.02199999988079071,5.389078617095947,0.03400000184774399,4.874622821807861,0.02800000086426735,4.8663649559021,25.84891128540039
1,0.03371428698301315,4.259014129638672,0.03314285725355148,4.2772440910339355,0.03685714304447174,4.246324062347412,0.03171428665518761,4.310376167297363,0.03885714337229729,4.222525119781494,0.0010000000474974513,21.318546295166016,0.035999998450279236,6.897879600524902,0.024000000208616257,6.463294506072998,0.02199999988079071,5.979576587677002,0.02800000086426735,6.472438335418701,0.03999999910593033,5.610691070556641,31.469926834106445
2,0.04514285549521446,3.9724972248077393,0.03885714337229729,4.015120506286621,0.0357142873108387,4.027737617492676,0.04399999976158142,4.028892517089844,0.041428569704294205,4.007331848144531,0.0010000000474974513,20.055408477783203,0.035999998450279236,7.5790696144104,0.029999999329447746,6.38460636138916,0.026000000536441803,5.552689075469971,0.024000000208616257,7.054749965667725,0.04399999976158142,4.92639684677124,31.538965225219727
3,0.04342857003211975,3.866274356842041,0.03914285823702812,3.8898749351501465,0.04714285582304001,3.8568825721740723,0.04228571429848671,3.910031318664551,0.04571428522467613,3.884216785430908,0.0010000000474974513,19.402381896972656,0.02199999988079071,6.553511142730713,0.03200000151991844,5.723966121673584,0.04600000008940697,4.6198410987854,0.03200000151991844,5.632259368896484,0.035999998450279236,4.889402389526367,27.468608856201172
4,0.055142857134342194,3.7417993545532227,0.052000001072883606,3.792262077331543,0.044285714626312256,3.798893690109253,0.05285714194178581,3.8167810440063477,0.04771428555250168,3.7695419788360596,0.0010000000474974513,18.916385650634766,0.03400000184774399,4.4326252937316895,0.03400000184774399,4.179445266723633,0.04600000008940697,3.9562108516693115,0.03799999877810478,4.365739345550537,0.05000000074505806,4.173686981201172,21.12554359436035
5,0.06142857298254967,3.6429154872894287,0.05542857199907303,3.6913905143737793,0.05314285680651665,3.7219479084014893,0.049142856150865555,3.735321283340454,0.05285714194178581,3.697364091873169,0.0010000000474974513,18.48992156982422,0.052000001072883606,3.7976791858673096,0.03799999877810478,3.69697642326355,0.057999998331069946,3.7514235973358154,0.052000001072883606,3.849339246749878,0.03799999877810478,3.698784589767456,18.80372428894043
6,0.06914285570383072,3.5293335914611816,0.06428571790456772,3.614280939102173,0.05714285746216774,3.617680311203003,0.061714284121990204,3.6211838722229004,0.06257142871618271,3.5830013751983643,0.0010000000474974513,17.965181350708008,0.04800000041723251,3.4538371562957764,0.03999999910593033,3.62727952003479,0.035999998450279236,3.6780970096588135,0.029999999329447746,3.6264631748199463,0.04399999976158142,3.4844796657562256,17.862154006958008
7,0.09485714137554169,3.4098801612854004,0.0762857124209404,3.486879348754883,0.0762857124209404,3.4861903190612793,0.07171428203582764,3.506098508834839,0.08657142519950867,3.3846733570098877,0.0010000000474974513,17.272720336914062,0.07599999755620956,3.2885725498199463,0.09000000357627869,3.3676228523254395,0.09000000357627869,3.415454626083374,0.07199999690055847,3.412139892578125,0.10400000214576721,3.184079885482788,16.661640167236328
8,0.10171428322792053,3.2480642795562744,0.09514285624027252,3.3618905544281006,0.09828571230173111,3.3624024391174316,0.0820000022649765,3.384479284286499,0.10599999874830246,3.226300001144409,0.0010000000474974513,16.582571029663086,0.07199999690055847,3.2486326694488525,0.08799999952316284,3.278690814971924,0.09799999743700027,3.3174920082092285,0.09600000083446503,3.288062334060669,0.11599999666213989,3.060147762298584,16.181631088256836
9,0.1274285763502121,3.0569396018981934,0.10942856967449188,3.2666919231414795,0.1177142858505249,3.212440252304077,0.11142857372760773,3.2358005046844482,0.1322857141494751,3.0334088802337646,0.0010000000474974513,15.803369522094727,0.15000000596046448,2.974921464920044,0.11400000005960464,3.106952428817749,0.1379999965429306,3.079998731613159,0.12999999523162842,3.0908076763153076,0.15199999511241913,2.840062141418457,15.08396053314209
10,0.15800000727176666,2.906845808029175,0.1225714311003685,3.145514488220215,0.1348571479320526,3.101193904876709,0.11800000071525574,3.123669147491455,0.16428571939468384,2.8553550243377686,0.0010000000474974513,15.138484001159668,0.14399999380111694,2.9728214740753174,0.11599999666213989,3.1228222846984863,0.12999999523162842,3.074493408203125,0.11800000071525574,3.0951015949249268,0.16599999368190765,2.8348705768585205,15.087865829467773
11,0.1948571354150772,2.755429744720459,0.14314286410808563,3.0264487266540527,0.14828571677207947,3.006967544555664,0.14628571271896362,2.988581895828247,0.19628570973873138,2.7142395973205566,0.0010000000474974513,14.491297721862793,0.1599999964237213,2.8256475925445557,0.12399999797344208,2.9789791107177734,0.12999999523162842,3.0054032802581787,0.13600000739097595,2.9245526790618896,0.20200000703334808,2.658897638320923,14.386269569396973
